,index,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,lot4_surface_carrez,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude,année,mois,duplicated
752272,2289619,2018-987759,2018-01-16,Vente,498000.0,40.0,,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,44.24,,,,,3,2.0,Appartement,44.0,2.0,,,,2.3646689999999997,48.857628000000005,2018,1,False
752275,2289630,2018-987764,2018-02-05,Vente,653000.0,139.0,,RUE DU FAUBOURG SAINT HONORE,3518,75008.0,75108,Paris 8e Arrondissement,75,53.89,,,,,1,2.0,Appartement,45.0,1.0,,,,2.307472,48.873905,2018,2,False
752277,2289644,2018-987769,2018-02-07,Vente,148000.0,41.0,,RUE DU GENERAL FOY,4041,75008.0,75108,Paris 8e Arrondissement,75,14.76,,,,,1,2.0,Appartement,22.0,1.0,,,,2.316442,48.880103000000005,2018,2,False
752280,2289647,2018-987772,2018-02-06,Vente,320000.0,7.0,,RUE CHARLOT,1880,75003.0,75103,Paris 3e Arrondissement,75,28.3,,,,,1,2.0,Appartement,30.0,2.0,,,,2.360101,48.861319,2018,2,False
752281,2289648,2018-987773,2018-02-09,Vente,2600000.0,270.0,,RUE DU FAUBOURG SAINT HONORE,3518,75008.0,75108,Paris 8e Arrondissement,75,211.57,,,,,1,2.0,Appartement,220.0,5.0,,,,2.299042,48.877841,2018,2,False
752284,2289659,2018-987776,2018-02-06,Vente,855000.0,77.0,,RUE DE TURBIGO,9504,75003.0,75103,Paris 3e Arrondissement,75,79.41,,,,,1,2.0,Appartement,77.0,3.0,,,,2.36045,48.866659000000006,2018,2,False
752285,2289660,2018-987777,2018-02-09,Vente,519000.0,127.0,,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,43.02,,,,,1,2.0,Appartement,45.0,2.0,,,,2.341817,48.861395,2018,2,False
752286,2289661,2018-987778,2018-02-01,Vente,930000.0,24.0,,RUE BERANGER,0871,75003.0,75103,Paris 3e Arrondissement,75,71.03,,,,,2,2.0,Appartement,70.0,3.0,,,,2.363569,48.866713,2018,2,False
752287,2289662,2018-987779,2018-02-12,Vente,315000.0,9.0,,RUE SAINT GERMAIN L AUXERROIS,8623,75001.0,75101,Paris 1er Arrondissement,75,,31.43,,,,2,2.0,Appartement,35.0,2.0,,,,2.345038,48.858114,2018,2,False
752288,2289663,2018-987780,2018-01-26,Vente,310000.0,314.0,,RUE SAINT MARTIN,8694,75003.0,75103,Paris 3e Arrondissement,75,25.6,,,,,1,2.0,Appartement,26.0,2.0,,,,2.355635,48.867971999999995,2018,1,False
752289,2289665,2018-987782,2018-01-24,Vente,793700.0,132.0,,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,77.45,,,,,1,2.0,Appartement,78.0,4.0,,,,2.365064,48.864411,2018,1,False
752290,2289666,2018-987783,2018-01-18,Vente,395000.0,176.0,,RUE DU TEMPLE,9191,75003.0,75103,Paris 3e Arrondissement,75,25.22,,,,,1,2.0,Appartement,27.0,1.0,,,,2.362678,48.866508,2018,1,False
752293,2289669,2018-987786,2018-02-01,Vente,150000.0,60.0,,RUE DES LOMBARDS,5738,75001.0,75101,Paris 1er Arrondissement,75,15.3,,,,,1,2.0,Appartement,13.0,1.0,,,,2.3477770000000002,48.859956,2018,2,False
752294,2289672,2018-987789,2018-01-23,Vente,729350.0,8.0,,RUE D ARTOIS,0487,75008.0,75108,Paris 8e Arrondissement,75,55.41,,,,,1,2.0,Appartement,45.0,2.0,,,,2.3087560000000003,48.872593,2018,1,False
752295,2289678,2018-987791,2018-02-02,Vente,568000.0,3.0,,IMP GOMBOUST,4228,75001.0,75101,Paris 1er Arrondissement,75,,43.79,,,,4,2.0,Appartement,35.0,1.0,,,,2.331251,48.867551,2018,2,False
752296,2289679,2018-987792,2018-02-01,Vente,386500.0,117.0,,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,35.22,,,,,1,2.0,Appartement,38.0,2.0,,,,2.341817,48.861395,2018,2,False
752297,2289680,2018-987793,2018-01-19,Vente,115000.0,4.0,,PAS SAINT PHILIPPE DU ROULE,8727,75008.0,75108,Paris 8e Arrondissement,75,9.61,,,,,1,2.0,Appartement,17.0,1.0,,,,2.310841,48.873218,2018,1,False
752298,2289681,2018-987794,2018-01-17,Vente,231000.0,24.0,,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,17.54,,,,,1,2.0,Appartement,18.0,1.0,,,,2.3600849999999998,48.86742,2018,1,False
752299,2289682,2018-987795,2018-01-31,Vente,193035.0,55.0,,AV FRANKLIN D ROOSEVELT,3824,75008.0,75108,Paris 8e Arrondissement,75,14.41,12.07,2.27,,,4,2.0,Appartement,27.0,1.0,,,,2.309733,48.871004,2018,1,False
752302,2289685,2018-987798,2018-01-26,Vente,796570.0,61.0,,RUE DE BRETAGNE,1275,75003.0,75103,Paris 3e Arrondissement,75,66.87,,,,,2,2.0,Appartement,67.0,3.0,,,,2.360234,48.863965,2018,1,False
